school,logo,type,color,alt_color
Air Force,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,G5,#004a7b,#ffffff
Akron,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,G5,#00285e,#84754e
Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,P5,#690014,#f1f2f3
Appalachian State,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,G5,#000000,#ffcd00
Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,P5,#002449,#00205b
Arizona State,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,P5,#942139,#f1f2f3
Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,P5,#9c1831,#000000
Arkansas State,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,G5,#e81018,#000000
Army,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,G5,#ce9c00,#231f20
Auburn,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,P5,#03244d,#f1f2f3
Ball State,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,G5,#DA0000,#ffffff
Baylor,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,P5,#004834,#ffb81c
Boise State,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,G5,#09347A,#d8d9da
Boston College,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,P5,#88001a,#a39161
Bowling Green,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,G5,#2b1000,#492000
Buffalo,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,G5,#041A9B,#ebebeb
BYU,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,P5,#001E4C,#ffffff
California,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,P5,#031522,#ffc423
Central Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,G5,#6a0032,#ffffff
Charlotte,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,G5,#0C562D,#cfab7a
Cincinnati,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,G5,#000000,#717073
Clemson,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,P5,#F66733,#522d80
Coastal Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,G5,#007073,#876447
Colorado,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,P5,#d1c57e,#ffd200
Colorado State,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,G5,#004537,#ffc425
Connecticut,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G5,#001d40,#f1f2f3
Duke,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,P5,#001A57,#f1f2f3
East Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,G5,#4b1869,#f0907b
Eastern Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,G5,#00331b,#f0f0f0
Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,P5,#0021A5,#0021a5
Florida Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,G5,#004B85,#bb2f4c
Florida International,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,G5,#001538,#c5960c
Florida State,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,P5,#782F40,#ceb888
Fresno State,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,G5,#c41230,#231f20
Georgia,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,P5,#CC0000,#000000
Georgia Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,G5,#003775,#f0f0f0
Georgia State,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,G5,#1e539a,#ebebeb
Georgia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,P5,#00223e,#002c56
Hawai'i,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,G5,#003420,#ffffff
Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,G5,#C90822,#231f20
Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,P5,#f77329,#fa6300
Indiana,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,P5,#7D110C,#eeedeb
Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,P5,#000000,#ffe100
Iowa State,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,P5,#660015,#830b2c
Kansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,P5,#0022B4,#e8000d
Kansas State,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,P5,#633194,#e7d2ad
Kent State,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,G5,#002445,#f0b510
Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,P5,#005DAA,#ffffff
Liberty,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,G5,#071740,#a61f21
Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,G5,#ce2842,#ffffff
Louisiana Monroe,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,G5,#231F20,#b18445
Louisiana Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,G5,#002d65,#d3313a
Louisville,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,P5,#ad000a,#cccccc
LSU,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,P5,#22005c,#fdd023
Marshall,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,G5,#186329,#be854c
Maryland,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,P5,#D5002B,#ffcd00
Memphis,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,G5,#002447,#231f20
Miami,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,P5,#004325,#f0f0f0
Miami (OH),http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,G5,#a4000c,#f0f0f0
Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,P5,#00274c,#ffcb05
Michigan State,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,P5,#18453B,#ffffff
Middle Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,G5,#0079C2,#c3c5c8
Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,P5,#7F011B,#7a0019
Mississippi State,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,P5,#762123,#c8c8c8
Missouri,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,P5,#000000,#000000
Navy,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,G5,#131630,#b6a77c
NC State,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,P5,#EF1216,#231f20
Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,P5,#F20017,#f5f1e7
Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,G5,#153E5F,#8e9295
New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,G5,#000000,#231f20
New Mexico State,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,G5,#891216,#000000
North Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,P5,#99bfe5,#13294b
Northern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,G5,#F1122C,#cc0000
North Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,G5,#00853D,#000000
Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,P5,#372286,#d6cac1
Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,P5,#00122b,#ae9142
Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,G5,#295A29,#e4bb85
Ohio State,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,P5,#DE3121,#666666
